,Ia,EPP,time,Im,flag
85,18,1685.400024,2018/11/26 0:01,18,1
86,18,1685.400024,2018/11/26 0:01,18,1
87,18,1685.400024,2018/11/26 0:01,18,1
88,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
89,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
90,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
91,17.39999962,1685.400024,2018/11/26 0:01,17.39999962,1
92,17.39999962,1685.400024,2018/11/26 0:01,17.39999962,1
93,17.39999962,1685.400024,2018/11/26 0:01,17.39999962,1
94,17.39999962,1685.400024,2018/11/26 0:01,17.39999962,1
95,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
96,16.79999924,1685.400024,2018/11/26 0:01,16.79999924,1
97,16.79999924,1685.400024,2018/11/26 0:01,16.79999924,1
98,16.79999924,1685.400024,2018/11/26 0:01,16.79999924,1
99,18,1685.400024,2018/11/26 0:01,18,1
100,18,1685.400024,2018/11/26 0:01,18,1
101,18,1685.400024,2018/11/26 0:01,18,1
102,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
103,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
104,17.10000038,1685.400024,2018/11/26 0:01,17.10000038,1
105,16.79999924,1685.400024,2018/11/26 0:01,16.79999924,1
106,11.39999962,1685.400024,2018/11/26 0:01,11.39999962,1
107,11.39999962,1685.400024,2018/11/26 0:01,11.39999962,1
108,12.89999962,1685.400024,2018/11/26 0:01,12.89999962,1
109,13.19999981,1685.400024,2018/11/26 0:01,13.19999981,1
110,13.19999981,1685.400024,2018/11/26 0:01,13.19999981,1
111,14.39999962,1685.699951,2018/11/26 0:01,14.39999962,1
112,17.10000038,1685.699951,2018/11/26 0:01,17.10000038,1
113,17.70000076,1685.699951,2018/11/26 0:01,17.70000076,1
114,17.70000076,1685.699951,2018/11/26 0:01,17.70000076,1
115,18.29999924,1685.699951,2018/11/26 0:01,18.29999924,1
116,18.60000038,1685.699951,2018/11/26 0:01,18.60000038,1
117,18.60000038,1685.699951,2018/11/26 0:01,18.60000038,1
118,18.60000038,1685.699951,2018/11/26 0:01,18.60000038,1
119,18.60000038,1685.699951,2018/11/26 0:01,18.60000038,1
120,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
121,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
122,18,1685.699951,2018/11/26 0:02,18,1
123,18,1685.699951,2018/11/26 0:02,18,1
124,17.10000038,1685.699951,2018/11/26 0:02,17.10000038,1
125,17.10000038,1685.699951,2018/11/26 0:02,17.10000038,1
126,16.79999924,1685.699951,2018/11/26 0:02,16.79999924,1
127,16.79999924,1685.699951,2018/11/26 0:02,16.79999924,1
128,11.69999981,1685.699951,2018/11/26 0:02,11.69999981,1
129,11.69999981,1685.699951,2018/11/26 0:02,11.69999981,1
130,11.69999981,1685.699951,2018/11/26 0:02,11.69999981,1
131,12.89999962,1685.699951,2018/11/26 0:02,12.89999962,1
132,12.89999962,1685.699951,2018/11/26 0:02,12.89999962,1
133,13.5,1685.699951,2018/11/26 0:02,13.5,1
134,13.5,1685.699951,2018/11/26 0:02,13.5,1
135,18.60000038,1685.699951,2018/11/26 0:02,18.60000038,1
136,18.60000038,1685.699951,2018/11/26 0:02,18.60000038,1
137,18.60000038,1685.699951,2018/11/26 0:02,18.60000038,1
138,18.60000038,1685.699951,2018/11/26 0:02,18.60000038,1
139,17.70000076,1685.699951,2018/11/26 0:02,17.70000076,1
140,17.70000076,1685.699951,2018/11/26 0:02,17.70000076,1
141,17.70000076,1685.699951,2018/11/26 0:02,17.70000076,1
142,19.20000076,1685.699951,2018/11/26 0:02,19.20000076,1
143,19.20000076,1685.699951,2018/11/26 0:02,19.20000076,1
144,19.20000076,1685.699951,2018/11/26 0:02,19.20000076,1
145,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
146,17.39999962,1685.699951,2018/11/26 0:02,17.39999962,1
147,17.39999962,1685.699951,2018/11/26 0:02,17.39999962,1
148,16.79999924,1685.699951,2018/11/26 0:02,16.79999924,1
149,16.79999924,1685.699951,2018/11/26 0:02,16.79999924,1
150,16.79999924,1685.699951,2018/11/26 0:02,16.79999924,1
151,12,1685.699951,2018/11/26 0:02,12,1
152,12,1685.699951,2018/11/26 0:02,12,1
153,12,1685.699951,2018/11/26 0:02,12,1
154,12.30000019,1685.699951,2018/11/26 0:02,12.30000019,1
155,12.30000019,1685.699951,2018/11/26 0:02,12.30000019,1
156,12.60000038,1685.699951,2018/11/26 0:02,12.60000038,1
157,14.39999962,1685.699951,2018/11/26 0:02,14.39999962,1
158,17.39999962,1685.699951,2018/11/26 0:02,17.39999962,1
159,17.39999962,1685.699951,2018/11/26 0:02,17.39999962,1
160,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
161,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
162,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
163,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
164,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
165,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
166,18.89999962,1685.699951,2018/11/26 0:02,18.89999962,1
167,18.89999962,1685.699951,2018/11/26 0:02,18.89999962,1
168,18.89999962,1685.699951,2018/11/26 0:02,18.89999962,1
169,18.29999924,1685.699951,2018/11/26 0:02,18.29999924,1
170,17.39999962,1685.699951,2018/11/26 0:02,17.39999962,1
171,17.39999962,1685.699951,2018/11/26 0:02,17.39999962,1
172,17.10000038,1685.699951,2018/11/26 0:02,17.10000038,1
173,17.10000038,1685.699951,2018/11/26 0:02,17.10000038,1
174,16.79999924,1685.699951,2018/11/26 0:02,16.79999924,1
175,13.19999981,1685.699951,2018/11/26 0:02,13.19999981,1
